title,text,subject,date,label
Technology update issued after software review,Officials confirmed on 04-Feb-21 that technology figures were released following a routine review. A spokesperson said the findings in software were based on filings submitted under existing disclosure rules. The office declined to comment beyond the prepared statement.,world,13-Apr-19,REAL
"BOMBSHELL: the election conspiracy finally uncovered, mainstream media silent!!!",Shocking new evidence about the election has just leaked and they are trying to BAN this article!!! A former employee who wants to stay completely anonymous said the truth about the banned report is UNBELIEVABLE!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,world,14-Mar-19,FAKE
You won't BELIEVE what insiders revealed about the government - banned truth!!!,The mainstream media will NEVER show you this about the government - 100% guaranteed!!! Everyone is talking about how the banned report was secretly changed overnight and NOBODY is asking questions!!! Comment your reaction NOW and tag everyone you know!!!,conspiracies,02-Aug-20,FAKE
Economy update issued after trade review,"Analysts said on 15-Aug-19 that economy indicators remained within the expected range, citing official records. Independent observers who reviewed the materials in trade described the process as routine and orderly. No unusual activity was reported in connection with the matter.",world,06-Dec-19,REAL
Officials review diplomatic figures in border talks records,A report published on 10-Apr-19 describes how diplomatic developments were documented by the agency. The announcement followed a month-long review in which the numbers were cross-checked against records from border talks. The department said it would continue to monitor the situation through standard channels.,business,27-Sep-21,REAL
"BOMBSHELL: the media conspiracy finally uncovered, mainstream media silent!!!",Shocking new evidence about the media has just leaked and they are trying to BAN this article!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the secret footage was hidden from YOU!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,politics,25-Oct-20,FAKE
You won't BELIEVE what insiders revealed about the government - banned truth!!!,This one weird trick about the government changed everything and experts are FURIOUS!!! A former employee who wants to stay completely anonymous said the truth about the banned report is UNBELIEVABLE!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,health,01-Nov-20,FAKE
SHOCKING!!! the media secret plan EXPOSED - what they don't want you to know!!!,Insiders whispered the TRUTH about the media and it is worse than you could ever imagine!!! They deleted the evidence about the secret footage but we saved it - share this before it disappears!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,world,20-Feb-21,FAKE
Technology update issued after semiconductors review,"Officials confirmed on 02-Apr-19 that technology figures were released following a routine review. Researchers noted that the results, published in semiconductors, are consistent with data collected over the previous year. No unusual activity was reported in connection with the matter.",business,03-Jun-21,REAL
Officials review diplomatic figures in treaty records,A report published on 03-Oct-19 describes how diplomatic developments were documented by the agency. The agency stated that further updates concerning treaty would be provided during the next scheduled briefing. Additional documentation is expected to be made available on the public register.,technology,10-Mar-20,REAL
Health update issued after public health review,A report published on 13-Apr-20 describes how health developments were documented by the agency. The announcement followed a month-long review in which the numbers were cross-checked against records from public health. Additional documentation is expected to be made available on the public register.,technology,24-Jun-20,REAL
Officials review health figures in public health records,Officials confirmed on 25-Mar-20 that health figures were released following a routine review. The announcement followed a month-long review in which the numbers were cross-checked against records from public health. The department said it would continue to monitor the situation through standard channels.,sports,25-Aug-20,REAL
BREAKING: the election scandal destroys everything - share before it's deleted!!!,The mainstream media will NEVER show you this about the election - 100% guaranteed!!! Anonymous sources claim that the deleted files proves the entire thing was staged from the beginning!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,entertainment,09-Dec-19,FAKE
Officials review diplomatic figures in treaty records,"According to a statement issued on 17-Jun-19, the department reviewed diplomatic data for the quarter. Researchers noted that the results, published in treaty, are consistent with data collected over the previous year. No unusual activity was reported in connection with the matter.",technology,20-Feb-19,REAL
Diplomatic update issued after treaty review,"A report published on 02-Oct-20 describes how diplomatic developments were documented by the agency. Researchers noted that the results, published in treaty, are consistent with data collected over the previous year. No unusual activity was reported in connection with the matter.",world,29-Aug-20,REAL
Economy update issued after markets review,"According to a statement issued on 19-Feb-21, the department reviewed economy data for the quarter. A spokesperson said the findings in markets were based on filings submitted under existing disclosure rules. No unusual activity was reported in connection with the matter.",technology,20-Jan-19,REAL
SHOCKING!!! the media secret plan EXPOSED - what they don't want you to know!!!,Insiders whispered the TRUTH about the media and it is worse than you could ever imagine!!! Everyone is talking about how the banned report was secretly changed overnight and NOBODY is asking questions!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,politics,20-Jul-19,FAKE
Government update issued after legislation review,"Analysts said on 18-Jan-20 that government indicators remained within the expected range, citing official records. A spokesperson said the findings in legislation were based on filings submitted under existing disclosure rules. The office declined to comment beyond the prepared statement.",business,18-Aug-19,REAL
Officials review health figures in clinic records,The ministry announced on 16-Apr-20 that health statistics had been verified by an independent auditor. A spokesperson said the findings in clinic were based on filings submitted under existing disclosure rules. Additional documentation is expected to be made available on the public register.,sports,13-Jul-20,REAL
BREAKING: the government scandal destroys everything - share before it's deleted!!!,WAKE UP people!!! the government is a total LIE and we have PROOF!!! A former employee who wants to stay completely anonymous said the truth about the secret footage is UNBELIEVABLE!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,health,24-Sep-20,FAKE
You won't BELIEVE what insiders revealed about vaccines - banned truth!!!,Insiders whispered the TRUTH about vaccines and it is worse than you could ever imagine!!! Anonymous sources claim that the deleted files proves the entire thing was staged from the beginning!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,politics,26-Mar-21,FAKE
You won't BELIEVE what insiders revealed about vaccines - banned truth!!!,The mainstream media will NEVER show you this about vaccines - 100% guaranteed!!! Everyone is talking about how the leaked memo was secretly changed overnight and NOBODY is asking questions!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,world,04-May-21,FAKE
Government update issued after parliament review,"According to a statement issued on 28-Feb-19, the department reviewed government data for the quarter. The announcement followed a month-long review in which the numbers were cross-checked against records from parliament. The office declined to comment beyond the prepared statement.",health,11-Jun-19,REAL
MIRACLE cure for the government discovered - doctors HATE this one trick!!!,WAKE UP people!!! the government is a total LIE and we have PROOF!!! Anonymous sources claim that the leaked memo proves the entire thing was staged from the beginning!!! The fact that this is not on the news proves EVERYTHING!!!,health,03-Jul-19,FAKE
MIRACLE cure for 5G networks discovered - doctors HATE this one trick!!!,WAKE UP people!!! 5G networks is a total LIE and we have PROOF!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the banned report was hidden from YOU!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,entertainment,04-Dec-19,FAKE
Officials review technology figures in engineering records,"Analysts said on 28-Mar-20 that technology indicators remained within the expected range, citing official records. The agency stated that further updates concerning engineering would be provided during the next scheduled briefing. Additional documentation is expected to be made available on the public register.",health,27-Apr-19,REAL
You won't BELIEVE what insiders revealed about the government - banned truth!!!,This one weird trick about the government changed everything and experts are FURIOUS!!! A former employee who wants to stay completely anonymous said the truth about the leaked memo is UNBELIEVABLE!!! Comment your reaction NOW and tag everyone you know!!!,health,07-Feb-20,FAKE
Officials review health figures in hospital records,A report published on 31-Mar-19 describes how health developments were documented by the agency. A spokesperson said the findings in hospital were based on filings submitted under existing disclosure rules. The office declined to comment beyond the prepared statement.,health,08-Jun-20,REAL
MIRACLE cure for 5G networks discovered - doctors HATE this one trick!!!,The mainstream media will NEVER show you this about 5G networks - 100% guaranteed!!! They deleted the evidence about the banned report but we saved it - share this before it disappears!!! Comment your reaction NOW and tag everyone you know!!!,entertainment,20-Jul-21,FAKE
Officials review diplomatic figures in treaty records,The ministry announced on 07-Jul-19 that diplomatic statistics had been verified by an independent auditor. Independent observers who reviewed the materials in treaty described the process as routine and orderly. Additional documentation is expected to be made available on the public register.,health,12-May-19,REAL
Officials review diplomatic figures in summit records,"According to a statement issued on 20-Jul-20, the department reviewed diplomatic data for the quarter. Researchers noted that the results, published in summit, are consistent with data collected over the previous year. No unusual activity was reported in connection with the matter.",technology,21-Feb-21,REAL
SHOCKING!!! 5G networks secret plan EXPOSED - what they don't want you to know!!!,Insiders whispered the TRUTH about 5G networks and it is worse than you could ever imagine!!! Everyone is talking about how the leaked memo was secretly changed overnight and NOBODY is asking questions!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,conspiracies,21-Aug-19,FAKE
Officials review government figures in budget records,"According to a statement issued on 15-May-20, the department reviewed government data for the quarter. Independent observers who reviewed the materials in budget described the process as routine and orderly. The office declined to comment beyond the prepared statement.",technology,23-Aug-20,REAL
BREAKING: the media scandal destroys everything - share before it's deleted!!!,The mainstream media will NEVER show you this about the media - 100% guaranteed!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the leaked memo was hidden from YOU!!! The fact that this is not on the news proves EVERYTHING!!!,entertainment,09-Sep-20,FAKE
"BOMBSHELL: vaccines conspiracy finally uncovered, mainstream media silent!!!",The mainstream media will NEVER show you this about vaccines - 100% guaranteed!!! Anonymous sources claim that the deleted files proves the entire thing was staged from the beginning!!! Comment your reaction NOW and tag everyone you know!!!,politics,22-Apr-21,FAKE
Economy update issued after trade review,"A report published on 14-Jun-21 describes how economy developments were documented by the agency. Researchers noted that the results, published in trade, are consistent with data collected over the previous year. No unusual activity was reported in connection with the matter.",business,26-Mar-19,REAL
"BOMBSHELL: the government conspiracy finally uncovered, mainstream media silent!!!",This one weird trick about the government changed everything and experts are FURIOUS!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the leaked memo was hidden from YOU!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,conspiracies,12-Jan-20,FAKE
Economy update issued after employment review,A report published on 17-May-21 describes how economy developments were documented by the agency. The announcement followed a month-long review in which the numbers were cross-checked against records from employment. Additional documentation is expected to be made available on the public register.,business,28-Apr-19,REAL
You won't BELIEVE what insiders revealed about vaccines - banned truth!!!,WAKE UP people!!! vaccines is a total LIE and we have PROOF!!! They deleted the evidence about the leaked memo but we saved it - share this before it disappears!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,entertainment,31-Aug-19,FAKE
SHOCKING!!! the media secret plan EXPOSED - what they don't want you to know!!!,WAKE UP people!!! the media is a total LIE and we have PROOF!!! They deleted the evidence about the deleted files but we saved it - share this before it disappears!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,conspiracies,12-Feb-19,FAKE
SHOCKING!!! vaccines secret plan EXPOSED - what they don't want you to know!!!,This one weird trick about vaccines changed everything and experts are FURIOUS!!! Everyone is talking about how the leaked memo was secretly changed overnight and NOBODY is asking questions!!! The fact that this is not on the news proves EVERYTHING!!!,conspiracies,30-Sep-20,FAKE
BREAKING: the election scandal destroys everything - share before it's deleted!!!,The mainstream media will NEVER show you this about the election - 100% guaranteed!!! Anonymous sources claim that the banned report proves the entire thing was staged from the beginning!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,politics,27-Apr-20,FAKE
Officials review government figures in budget records,"Analysts said on 31-Aug-20 that government indicators remained within the expected range, citing official records. The announcement followed a month-long review in which the numbers were cross-checked against records from budget. No unusual activity was reported in connection with the matter.",health,01-Aug-20,REAL
Government update issued after parliament review,"According to a statement issued on 24-Jun-19, the department reviewed government data for the quarter. The agency stated that further updates concerning parliament would be provided during the next scheduled briefing. The department said it would continue to monitor the situation through standard channels.",health,22-Aug-21,REAL
"BOMBSHELL: the election conspiracy finally uncovered, mainstream media silent!!!",The mainstream media will NEVER show you this about the election - 100% guaranteed!!! Anonymous sources claim that the leaked memo proves the entire thing was staged from the beginning!!! Comment your reaction NOW and tag everyone you know!!!,world,05-Jun-19,FAKE
MIRACLE cure for vaccines discovered - doctors HATE this one trick!!!,Shocking new evidence about vaccines has just leaked and they are trying to BAN this article!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the deleted files was hidden from YOU!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,politics,22-Oct-20,FAKE
Officials review economy figures in employment records,"According to a statement issued on 09-Jan-20, the department reviewed economy data for the quarter. The agency stated that further updates concerning employment would be provided during the next scheduled briefing. Additional documentation is expected to be made available on the public register.",health,15-May-19,REAL
Health update issued after clinic review,"Analysts said on 17-Jul-20 that health indicators remained within the expected range, citing official records. Researchers noted that the results, published in clinic, are consistent with data collected over the previous year. No unusual activity was reported in connection with the matter.",business,22-Jun-20,REAL
Government update issued after legislation review,"Analysts said on 29-Oct-20 that government indicators remained within the expected range, citing official records. A spokesperson said the findings in legislation were based on filings submitted under existing disclosure rules. Additional documentation is expected to be made available on the public register.",health,04-Jun-19,REAL
SHOCKING!!! vaccines secret plan EXPOSED - what they don't want you to know!!!,Insiders whispered the TRUTH about vaccines and it is worse than you could ever imagine!!! Everyone is talking about how the banned report was secretly changed overnight and NOBODY is asking questions!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,conspiracies,12-Sep-20,FAKE
SHOCKING!!! the election secret plan EXPOSED - what they don't want you to know!!!,Shocking new evidence about the election has just leaked and they are trying to BAN this article!!! A former employee who wants to stay completely anonymous said the truth about the leaked memo is UNBELIEVABLE!!! Comment your reaction NOW and tag everyone you know!!!,entertainment,14-Jun-19,FAKE
Officials review economy figures in markets records,The ministry announced on 23-Jun-19 that economy statistics had been verified by an independent auditor. A spokesperson said the findings in markets were based on filings submitted under existing disclosure rules. Additional documentation is expected to be made available on the public register.,technology,30-May-19,REAL
Health update issued after clinic review,Officials confirmed on 10-Jun-21 that health figures were released following a routine review. A spokesperson said the findings in clinic were based on filings submitted under existing disclosure rules. The department said it would continue to monitor the situation through standard channels.,business,24-Feb-20,REAL
Officials review economy figures in employment records,"Officials confirmed on 10-Feb-20 that economy figures were released following a routine review. Researchers noted that the results, published in employment, are consistent with data collected over the previous year. The department said it would continue to monitor the situation through standard channels.",technology,31-Jul-21,REAL
Government update issued after ministry review,Officials confirmed on 23-Jan-19 that government figures were released following a routine review. The announcement followed a month-long review in which the numbers were cross-checked against records from ministry. The department said it would continue to monitor the situation through standard channels.,technology,08-Apr-21,REAL
BREAKING: vaccines scandal destroys everything - share before it's deleted!!!,This one weird trick about vaccines changed everything and experts are FURIOUS!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the banned report was hidden from YOU!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,conspiracies,24-Feb-21,FAKE
BREAKING: the media scandal destroys everything - share before it's deleted!!!,WAKE UP people!!! the media is a total LIE and we have PROOF!!! Anonymous sources claim that the secret footage proves the entire thing was staged from the beginning!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,entertainment,25-May-20,FAKE
"BOMBSHELL: 5G networks conspiracy finally uncovered, mainstream media silent!!!",Insiders whispered the TRUTH about 5G networks and it is worse than you could ever imagine!!! Everyone is talking about how the banned report was secretly changed overnight and NOBODY is asking questions!!! Comment your reaction NOW and tag everyone you know!!!,world,09-Nov-20,FAKE
Officials review technology figures in semiconductors records,"Analysts said on 22-Jun-21 that technology indicators remained within the expected range, citing official records. A spokesperson said the findings in semiconductors were based on filings submitted under existing disclosure rules. The office declined to comment beyond the prepared statement.",politics,10-Jun-20,REAL
Health update issued after public health review,"Officials confirmed on 29-Mar-21 that health figures were released following a routine review. Researchers noted that the results, published in public health, are consistent with data collected over the previous year. The office declined to comment beyond the prepared statement.",sports,26-Mar-20,REAL
Technology update issued after engineering review,A report published on 26-Mar-19 describes how technology developments were documented by the agency. Independent observers who reviewed the materials in engineering described the process as routine and orderly. No unusual activity was reported in connection with the matter.,world,27-Oct-19,REAL
BREAKING: the election scandal destroys everything - share before it's deleted!!!,This one weird trick about the election changed everything and experts are FURIOUS!!! Anonymous sources claim that the banned report proves the entire thing was staged from the beginning!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,health,20-Jun-21,FAKE
Diplomatic update issued after summit review,The ministry announced on 23-Jul-20 that diplomatic statistics had been verified by an independent auditor. The agency stated that further updates concerning summit would be provided during the next scheduled briefing. No unusual activity was reported in connection with the matter.,sports,18-Nov-20,REAL
Officials review government figures in ministry records,"Analysts said on 20-Sep-20 that government indicators remained within the expected range, citing official records. The agency stated that further updates concerning ministry would be provided during the next scheduled briefing. No unusual activity was reported in connection with the matter.",sports,18-Jun-19,REAL
BREAKING: vaccines scandal destroys everything - share before it's deleted!!!,The mainstream media will NEVER show you this about vaccines - 100% guaranteed!!! Anonymous sources claim that the banned report proves the entire thing was staged from the beginning!!! Comment your reaction NOW and tag everyone you know!!!,politics,16-Apr-19,FAKE
"BOMBSHELL: the media conspiracy finally uncovered, mainstream media silent!!!",This one weird trick about the media changed everything and experts are FURIOUS!!! They deleted the evidence about the leaked memo but we saved it - share this before it disappears!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,entertainment,16-Jun-19,FAKE
You won't BELIEVE what insiders revealed about vaccines - banned truth!!!,Shocking new evidence about vaccines has just leaked and they are trying to BAN this article!!! A former employee who wants to stay completely anonymous said the truth about the banned report is UNBELIEVABLE!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,world,11-Nov-19,FAKE
MIRACLE cure for vaccines discovered - doctors HATE this one trick!!!,Shocking new evidence about vaccines has just leaked and they are trying to BAN this article!!! They deleted the evidence about the banned report but we saved it - share this before it disappears!!! Comment your reaction NOW and tag everyone you know!!!,politics,25-Sep-21,FAKE
BREAKING: the election scandal destroys everything - share before it's deleted!!!,Insiders whispered the TRUTH about the election and it is worse than you could ever imagine!!! Anonymous sources claim that the leaked memo proves the entire thing was staged from the beginning!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,health,10-Jan-20,FAKE
SHOCKING!!! the election secret plan EXPOSED - what they don't want you to know!!!,The mainstream media will NEVER show you this about the election - 100% guaranteed!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the deleted files was hidden from YOU!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,politics,11-Nov-20,FAKE
Health update issued after vaccine programme review,"Analysts said on 23-Jul-21 that health indicators remained within the expected range, citing official records. The announcement followed a month-long review in which the numbers were cross-checked against records from vaccine programme. Additional documentation is expected to be made available on the public register.",health,15-Sep-20,REAL
MIRACLE cure for vaccines discovered - doctors HATE this one trick!!!,WAKE UP people!!! vaccines is a total LIE and we have PROOF!!! A former employee who wants to stay completely anonymous said the truth about the deleted files is UNBELIEVABLE!!! Comment your reaction NOW and tag everyone you know!!!,conspiracies,05-Apr-21,FAKE
Officials review health figures in hospital records,"Analysts said on 31-Aug-21 that health indicators remained within the expected range, citing official records. A spokesperson said the findings in hospital were based on filings submitted under existing disclosure rules. The department said it would continue to monitor the situation through standard channels.",technology,11-Oct-19,REAL
"BOMBSHELL: 5G networks conspiracy finally uncovered, mainstream media silent!!!",This one weird trick about 5G networks changed everything and experts are FURIOUS!!! Anonymous sources claim that the deleted files proves the entire thing was staged from the beginning!!! The fact that this is not on the news proves EVERYTHING!!!,world,12-Nov-19,FAKE
You won't BELIEVE what insiders revealed about the government - banned truth!!!,Insiders whispered the TRUTH about the government and it is worse than you could ever imagine!!! Anonymous sources claim that the deleted files proves the entire thing was staged from the beginning!!! Comment your reaction NOW and tag everyone you know!!!,conspiracies,18-Sep-21,FAKE
Officials review economy figures in trade records,"The ministry announced on 21-Mar-19 that economy statistics had been verified by an independent auditor. Researchers noted that the results, published in trade, are consistent with data collected over the previous year. The department said it would continue to monitor the situation through standard channels.",business,03-Jul-21,REAL
Officials review diplomatic figures in treaty records,Officials confirmed on 22-Apr-19 that diplomatic figures were released following a routine review. Independent observers who reviewed the materials in treaty described the process as routine and orderly. The office declined to comment beyond the prepared statement.,business,22-Mar-20,REAL
Health update issued after hospital review,The ministry announced on 10-Oct-19 that health statistics had been verified by an independent auditor. A spokesperson said the findings in hospital were based on filings submitted under existing disclosure rules. No unusual activity was reported in connection with the matter.,technology,04-Apr-19,REAL
Diplomatic update issued after summit review,A report published on 04-Jun-21 describes how diplomatic developments were documented by the agency. A spokesperson said the findings in summit were based on filings submitted under existing disclosure rules. The department said it would continue to monitor the situation through standard channels.,politics,03-Jul-19,REAL
Economy update issued after employment review,"Analysts said on 03-May-21 that economy indicators remained within the expected range, citing official records. A spokesperson said the findings in employment were based on filings submitted under existing disclosure rules. The office declined to comment beyond the prepared statement.",sports,12-Dec-19,REAL
You won't BELIEVE what insiders revealed about vaccines - banned truth!!!,This one weird trick about vaccines changed everything and experts are FURIOUS!!! They deleted the evidence about the secret footage but we saved it - share this before it disappears!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,world,13-Nov-19,FAKE
Technology update issued after software review,"According to a statement issued on 23-May-19, the department reviewed technology data for the quarter. A spokesperson said the findings in software were based on filings submitted under existing disclosure rules. Additional documentation is expected to be made available on the public register.",technology,08-Jul-21,REAL
Health update issued after vaccine programme review,"Analysts said on 03-Mar-19 that health indicators remained within the expected range, citing official records. Independent observers who reviewed the materials in vaccine programme described the process as routine and orderly. Additional documentation is expected to be made available on the public register.",technology,29-Dec-19,REAL
Officials review technology figures in research records,"Analysts said on 31-Mar-21 that technology indicators remained within the expected range, citing official records. A spokesperson said the findings in research were based on filings submitted under existing disclosure rules. No unusual activity was reported in connection with the matter.",health,25-Nov-20,REAL
Technology update issued after software review,The ministry announced on 15-Apr-19 that technology statistics had been verified by an independent auditor. A spokesperson said the findings in software were based on filings submitted under existing disclosure rules. Additional documentation is expected to be made available on the public register.,politics,05-Apr-20,REAL
Officials review diplomatic figures in border talks records,Officials confirmed on 24-Jul-20 that diplomatic figures were released following a routine review. A spokesperson said the findings in border talks were based on filings submitted under existing disclosure rules. No unusual activity was reported in connection with the matter.,technology,14-Nov-20,REAL
Health update issued after public health review,"According to a statement issued on 12-Jul-19, the department reviewed health data for the quarter. A spokesperson said the findings in public health were based on filings submitted under existing disclosure rules. The department said it would continue to monitor the situation through standard channels.",health,18-Feb-20,REAL
Government update issued after budget review,"According to a statement issued on 17-Aug-19, the department reviewed government data for the quarter. Researchers noted that the results, published in budget, are consistent with data collected over the previous year. The office declined to comment beyond the prepared statement.",business,16-Jan-20,REAL
MIRACLE cure for the election discovered - doctors HATE this one trick!!!,This one weird trick about the election changed everything and experts are FURIOUS!!! Anonymous sources claim that the deleted files proves the entire thing was staged from the beginning!!! The fact that this is not on the news proves EVERYTHING!!!,conspiracies,18-Feb-21,FAKE
Officials review government figures in legislation records,The ministry announced on 23-Nov-19 that government statistics had been verified by an independent auditor. The announcement followed a month-long review in which the numbers were cross-checked against records from legislation. Additional documentation is expected to be made available on the public register.,sports,28-Apr-19,REAL
"BOMBSHELL: 5G networks conspiracy finally uncovered, mainstream media silent!!!",The mainstream media will NEVER show you this about 5G networks - 100% guaranteed!!! Documents that nobody can verify (for reasons that are OBVIOUS) show that the deleted files was hidden from YOU!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,entertainment,28-Dec-20,FAKE
SHOCKING!!! 5G networks secret plan EXPOSED - what they don't want you to know!!!,This one weird trick about 5G networks changed everything and experts are FURIOUS!!! They deleted the evidence about the deleted files but we saved it - share this before it disappears!!! If you believe the official story you are being DECEIVED!!! Wake up sheeple!!!,entertainment,09-Sep-21,FAKE
Health update issued after vaccine programme review,"Officials confirmed on 24-Jan-21 that health figures were released following a routine review. Researchers noted that the results, published in vaccine programme, are consistent with data collected over the previous year. Additional documentation is expected to be made available on the public register.",world,29-Jun-19,REAL
Diplomatic update issued after border talks review,Officials confirmed on 23-Dec-20 that diplomatic figures were released following a routine review. A spokesperson said the findings in border talks were based on filings submitted under existing disclosure rules. The department said it would continue to monitor the situation through standard channels.,sports,04-May-20,REAL
BREAKING: the election scandal destroys everything - share before it's deleted!!!,The mainstream media will NEVER show you this about the election - 100% guaranteed!!! A former employee who wants to stay completely anonymous said the truth about the secret footage is UNBELIEVABLE!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,health,10-Jul-21,FAKE
Officials review government figures in parliament records,The ministry announced on 29-Dec-19 that government statistics had been verified by an independent auditor. The agency stated that further updates concerning parliament would be provided during the next scheduled briefing. The office declined to comment beyond the prepared statement.,sports,25-Feb-19,REAL
Officials review diplomatic figures in treaty records,A report published on 14-Jun-19 describes how diplomatic developments were documented by the agency. Independent observers who reviewed the materials in treaty described the process as routine and orderly. Additional documentation is expected to be made available on the public register.,technology,27-Dec-20,REAL
Diplomatic update issued after summit review,"Analysts said on 13-Aug-20 that diplomatic indicators remained within the expected range, citing official records. The agency stated that further updates concerning summit would be provided during the next scheduled briefing. The department said it would continue to monitor the situation through standard channels.",technology,14-Jul-19,REAL
"BOMBSHELL: vaccines conspiracy finally uncovered, mainstream media silent!!!",The mainstream media will NEVER show you this about vaccines - 100% guaranteed!!! A former employee who wants to stay completely anonymous said the truth about the deleted files is UNBELIEVABLE!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,conspiracies,12-Jul-20,FAKE
Officials review economy figures in employment records,Officials confirmed on 16-Dec-20 that economy figures were released following a routine review. Independent observers who reviewed the materials in employment described the process as routine and orderly. The office declined to comment beyond the prepared statement.,politics,13-Jan-19,REAL
You won't BELIEVE what insiders revealed about the media - banned truth!!!,This one weird trick about the media changed everything and experts are FURIOUS!!! A former employee who wants to stay completely anonymous said the truth about the leaked memo is UNBELIEVABLE!!! SHARE THIS before it gets taken down!!! WAKE UP!!!,conspiracies,22-May-21,FAKE
